ID_Credit;Customer_ID;LoanDate;B_M;City;age;Time_experience;Activity;BankingExp;OtherIncome;SectBalance;Exp;Income;Delincuency_Hist;score_1;score_2;score_3;score_4;Cupo_solicitado;Cupo_aprobado;Canal_cobranza;Resultado_cobranza
27;1021478;2019-02-16 00:00:00;0;NEW ENGALND;58;32;Empleado;S;N;3750;320;1300;4;642;624;724;750;11396;9078;Ninguno;No aplica
28;1040941;2016-07-03 00:00:00;1;ATLANTHIC SOUTH;62;40;Empleado;N;S;10800;1100;1570,833;2;519;756;678;947;13666;7198;SMS;Pago parcial
29;1005998;2018-10-03 00:00:00;1;NEW YORK;43;20;Pensionado;S;S;2750;447;630;2;470;516;651;688;23942;17415;Call center;Promesa de pago
30;1064411;2018-08-24 00:00:00;1;NEW ENGALND;35;17;Pensionado;S;N;7200;512;2147;0;485;554;649;792;29233;24480;Whatsapp;Sin gestión
31;1016302;2017-11-06 00:00:00;0;NEW YORK;35;15;Empleado;S;S;5800;230;800;0;670;705;583;603;23431;19653;Ninguno;No aplica
32;1013751;2018-06-28 00:00:00;1;CHICAGO;48;10;Pensionado;N;S;6750;500;900;0;593;616;685;710;7747;5319;SMS;Pago parcial
33;1029380;2015-10-06 00:00:00;0;ATLANTHIC SOUTH;53;35;Empleado;S;S;5000;540;1200;3;699;737;647;673;5189;5038;Ninguno;No aplica
34;1091059;2015-07-30 00:00:00;0;ATLANTHIC SOUTH;37;10;Empleado;S;S;5600;1304;2480;3;647;788;615;653;24118;14077;Ninguno;No aplica
35;1008208;2015-11-06 00:00:00;0;NEW YORK;41;20;Empleado;S;N;8750;630;1600;0;741;710;727;892;8005;6005;Ninguno;No aplica
36;1091061;2017-12-20 00:00:00;0;NEW YORK;27;7;Empleado;N;S;9000;275;1860;0;639;617;562;642;26042;22017;Ninguno;No aplica
37;1023685;2018-11-29 00:00:00;0;ATLANTHIC SOUTH;48;30;independiente;N;S;2500;703;1200;0;710;665;620;723;6899;5854;Ninguno;No aplica
38;1035097;2020-02-10 00:00:00;1;NEW YORK;50;36;independiente;S;S;8100;800;1100;2;402;598;722;546;29118;24003;Whatsapp;Sin gestión
39;1015658;2016-11-12 00:00:00;1;NEW YORK;47;10;Pensionado;S;S;2500;400;900;0;434;704;672;759;6267;3996;Call center;Promesa de pago
40;1068005;2019-05-20 00:00:00;0;ATLANTHIC SOUTH;38;20;Empleado;S;S;10000;580;1190;3;710;596;647;773;22912;13246;Ninguno;No aplica
41;1055064;2019-02-15 00:00:00;0;NEW YORK;44;15;Pensionado;S;S;9000;928;1793;4;737;752;668;623;16394;13410;Ninguno;No aplica
42;1091273;2020-03-14 00:00:00;0;NEW YORK;67;50;independiente;S;S;12375;300;1000;0;709;691;663;444;8556;6842;Ninguno;No aplica
43;1001867;2020-08-25 00:00:00;1;ATLANTHIC SOUTH;37;5;independiente;N;S;3750;707,5;1225;2;494;630;544;717;8890;5242;Whatsapp;Sin gestión
44;1062755;2018-04-02 00:00:00;1;NEW YORK;49;20;Pensionado;S;S;10000;900;1500;2;485;574;626;722;13838;11798;Call center;Promesa de pago
45;1072218;2017-04-15 00:00:00;0;NEW YORK;36;20;independiente;S;S;7200;860;1055;0;626;629;763;735;19502;14189;Ninguno;No aplica
46;1056368;2019-09-21 00:00:00;1;NEW YORK;29;10;Pensionado;S;S;11600;200;800;1;464;625;604;901;26777;22329;Call center;Promesa de pago
47;1032592;2017-09-02 00:00:00;0;NEW YORK;41;20;independiente;S;S;11500;750;1260;0;677;719;628;636;15627;14356;Ninguno;No aplica
48;1066597;2016-04-28 00:00:00;0;NEW YORK;33;14;Pensionado;N;S;18750;484;1400;1;753;738;612;593;13792;8066;Ninguno;No aplica
49;1068315;2019-12-15 00:00:00;1;NEW YORK;22;8;Pensionado;N;S;5200;220;500;2;517;579;644;615;15555;7926;Correo;No contactado
50;1005704;2020-07-28 00:00:00;0;CHICAGO;55;41;Empleado;S;S;5625;750;1500;3;612;644;609;688;15253;13568;Ninguno;No aplica
51;1047767;2018-07-29 00:00:00;0;NEW YORK;28;10;Pensionado;S;S;13500;700;1200;0;716;586;684;713;13433;10812;Ninguno;No aplica
52;1068378;2018-09-23 00:00:00;0;NEW YORK;34;10;Empleado;S;S;10000;520;2145;2;681;729;664;621;15233;12945;Ninguno;No aplica
53;1013047;2019-12-02 00:00:00;1;ATLANTHIC SOUTH;60;42;Empleado;N;N;5625;700;1500;0;466;605;704;790;16016;14720;Correo;No contactado
54;1011089;2018-07-21 00:00:00;0;ATLANTHIC SOUTH;64;40;Empleado;S;S;3750;350;900;2;731;622;576;712;28897;26048;Ninguno;No aplica
55;1045750;2019-10-01 00:00:00;0;NEW YORK;49;20;Pensionado;S;S;4000;1085;1750;0;752;648;626;674;7612;7463;Ninguno;No aplica
56;1076112;2019-11-30 00:00:00;1;NEW YORK;48;15;independiente;S;S;6750;592;850;0;547;552;634;639;28425;21829;Call center;Promesa de pago
57;1076198;2018-07-23 00:00:00;1;NEW YORK;41;10;Empleado;N;S;8750;680;990;0;458;491;682;677;27619;20555;SMS;Pago parcial
58;1056196;2017-12-09 00:00:00;0;NEW YORK;44;34;Pensionado;S;N;7500;880;1200;0;685;631;594;451;26870;18834;Ninguno;No aplica
59;1027338;2017-03-10 00:00:00;0;ATLANTHIC SOUTH;63;25;Empleado;N;S;16200;530;1530;0;717;612;714;691;28483;16430;Ninguno;No aplica
60;1086911;2017-03-06 00:00:00;0;545454;67;30;independiente;S;S;18750;320;1450;2;749;655;733;672;20787;16345;Ninguno;No aplica
61;1088347;2021-01-12 00:00:00;1;NEW YORK;34;16.66666667;Empleado;S;S;10000;1320;2500;0;476;536;581;737;22159;14149;Correo;No contactado
62;1007086;2016-05-11 00:00:00;1;CHICAGO;21;3;independiente;N;S;7600;750;1400;0;491;482;616;765;17206;16529;Call center;Promesa de pago
63;1054933;2017-06-21 00:00:00;0;545454;62;45;Pensionado;S;S;12500;350;1400;2;645;801;613;705;13226;10470;Ninguno;No aplica
64;1028649;2019-04-20 00:00:00;1;ATLANTHIC SOUTH;41;20;independiente;N;S;2000;533,333;916,666;0;440;655;834;710;19541;15563;Whatsapp;Sin gestión
65;1085074;2019-11-24 00:00:00;0;545454;39;10;Pensionado;S;S;7500;518,666;1500;0;741;633;620;674;8152;5523;Ninguno;No aplica
66;1051671;2019-01-09 00:00:00;1;NEW YORK;59;20;Pensionado;S;N;8125;400;1000;3;568;596;767;594;6585;3464;Whatsapp;Sin gestión
67;1053959;2015-11-18 00:00:00;0;ATLANTHIC SOUTH;41;5;independiente;S;S;7500;600;1300;0;696;705;561;617;8943;4613;Ninguno;No aplica
68;1027630;2020-10-15 00:00:00;0;NEW YORK;49;25;Pensionado;S;S;13500;528;930;0;750;751;581;675;28939;20595;Ninguno;No aplica
69;1049266;2020-03-28 00:00:00;0;NEW YORK;23;5;independiente;S;S;5800;220;800;3;718;631;602;604;24457;13263;Ninguno;No aplica
70;1019146;2017-02-10 00:00:00;1;NEW YORK;55;10;Empleado;S;S;7500;730;1400;0;468;646;591;797;6021;4837;SMS;Pago parcial
71;1048761;2016-09-08 00:00:00;1;NEW YORK;48;25;Empleado;S;S;10000;1517,354;2534,525;0;518;547;631;661;16653;15662;Whatsapp;Sin gestión
72;1002366;2017-11-20 00:00:00;1;NEW YORK;19;5;Empleado;N;S;6750;250;650;0;577;500;600;739;15805;14880;Whatsapp;Sin gestión
73;1028772;2015-12-02 00:00:00;1;NEW YORK;47;10;independiente;S;N;6250;300;1300;1;498;623;593;730;18417;15277;Call center;Promesa de pago
74;1070208;2019-02-22 00:00:00;1;545454;68;48;independiente;S;S;16500;350;1400;2;578;657;731;787;25227;15278;Whatsapp;Sin gestión
75;1019471;2020-01-08 00:00:00;1;NEW YORK;47;20;Empleado;S;S;3200;240;850;4;369;735;736;801;12989;12099;Whatsapp;Sin gestión
76;1089778;2020-05-07 00:00:00;0;NEW YORK;72;50;independiente;S;S;2500;185;800;0;741;608;716;732;14692;13855;Ninguno;No aplica
77;1019639;2015-11-26 00:00:00;0;CHICAGO;24;7;Empleado;S;S;9600;1200;2500;0;704;722;687;480;17990;10764;Ninguno;No aplica
78;1046932;2015-11-11 00:00:00;1;545454;25;10;Pensionado;N;S;6500;250;1600;0;485;555;656;827;11873;10314;Whatsapp;Sin gestión
79;1046285;2017-09-14 00:00:00;1;545454;56;30;independiente;S;N;12500;632;1500;0;505;627;615;857;10675;6867;Whatsapp;Sin gestión
80;1068224;2018-05-24 00:00:00;1;CHICAGO;41;26;Empleado;S;S;11250;500;1000;1;401;492;583;677;5161;4652;Call center;Promesa de pago
81;1018335;2020-08-07 00:00:00;1;NEW YORK;45;10;Pensionado;S;N;5000;200;800;0;489;504;675;741;9297;9284;Whatsapp;Sin gestión
82;1089902;2018-03-18 00:00:00;1;ATLANTHIC SOUTH;45;25;independiente;S;S;12500;980;2000;2;518;533;568;640;5995;3088;SMS;Pago parcial
83;1055525;2021-01-01 00:00:00;1;CHICAGO;33;10;Pensionado;N;S;7600;800;1400;3;574;585;580;545;16534;15686;Correo;No contactado
84;1074220;2017-09-11 00:00:00;0;NEW YORK;40;12;independiente;S;S;7500;351;2310;0;674;642;731;604;12629;10246;Ninguno;No aplica
85;1051859;2016-08-29 00:00:00;0;NEW YORK;27;10.83333333;independiente;S;N;5800;630;1270;1;660;720;783;621;6016;5936;Ninguno;No aplica
86;1059340;2019-04-24 00:00:00;1;NEW ENGALND;70;52;independiente;S;N;12500;534;1100;0;475;642;678;688;29253;21428;SMS;Pago parcial
87;1071184;2019-05-17 00:00:00;0;ATLANTHIC SOUTH;33;1.666666667;Pensionado;N;S;6250;500;913,05;3;746;716;727;584;27823;25700;Ninguno;No aplica
88;1062599;2015-11-09 00:00:00;1;CHICAGO;56;10;Empleado;S;S;6000;1050;1800;3;516;677;633;654;29276;15551;Correo;No contactado
89;1048824;2017-10-09 00:00:00;0;NEW ENGALND;51;30;independiente;N;S;12000;640;1250;0;674;705;556;669;28247;18859;Ninguno;No aplica
90;1007540;2016-08-11 00:00:00;1;NEW YORK;27;12;Pensionado;S;N;5625;150;1000;4;526;507;693;651;29300;15632;SMS;Pago parcial
91;1047944;2020-11-02 00:00:00;1;CHICAGO;34;20;independiente;S;S;11132;300;900;0;505;662;690;769;13529;13362;Correo;No contactado
92;1011210;2019-05-07 00:00:00;1;NEW YORK;57;30;Pensionado;S;S;10000;600;1500;0;548;544;655;781;22262;20225;Correo;No contactado
93;1017236;2019-01-01 00:00:00;0;NEW YORK;56;20;Empleado;S;S;12500;385,83;900;2;665;735;633;884;14268;13216;Ninguno;No aplica
94;1079315;2017-11-08 00:00:00;1;NEW YORK;63;45;Empleado;S;S;6250;250;850;0;484;674;717;821;26271;25456;Correo;No contactado
95;1090228;2021-01-19 00:00:00;0;NEW ENGALND;54;20;Pensionado;S;S;5000;950;4400;1;680;707;581;692;17185;9324;Ninguno;No aplica
96;1021284;2018-08-06 00:00:00;1;NEW ENGALND;45;16.66666667;independiente;N;S;18000;350;1500;0;427;490;596;664;26243;18181;Correo;No contactado
97;1004669;2020-09-30 00:00:00;0;545454;19;1;Pensionado;N;S;9000;600;1200;1;715;625;579;696;11331;6068;Ninguno;No aplica
98;1049782;2020-06-20 00:00:00;0;NEW YORK;27;8;Pensionado;S;S;12000;750;1950;0;713;759;656;699;13571;8216;Ninguno;No aplica
99;1042810;2018-06-24 00:00:00;1;ATLANTHIC SOUTH;22;10;Empleado;S;S;16200;535;1950;4;500;570;574;674;12208;7504;Call center;Promesa de pago
100;1063964;2016-11-03 00:00:00;0;545454;48;10;independiente;S;S;9000;400;1700;0;688;685;602;741;10276;7548;Ninguno;No aplica
101;1057553;2015-12-13 00:00:00;0;NEW YORK;42;15;Empleado;N;S;12500;440;880;3;629;726;601;544;23446;14871;Ninguno;No aplica
102;1032537;2020-01-30 00:00:00;1;ATLANTHIC SOUTH;47;26;independiente;S;N;15000;500;2300;3;479;622;632;698;21448;11807;SMS;Pago parcial
103;1040496;2018-02-12 00:00:00;0;CHICAGO;42;25;Empleado;S;N;7200;660;1300;3;683;697;546;720;21216;12385;Ninguno;No aplica
104;1050396;2019-12-17 00:00:00;0;NEW YORK;55;37;Empleado;N;S;12000;580;1800;1;660;667;656;644;13006;7461;Ninguno;No aplica
105;1099007;2019-02-07 00:00:00;0;545454;61;15.91666667;independiente;N;S;15000;320;1410;4;692;661;737;651;7568;7466;Ninguno;No aplica
106;1065065;2017-12-20 00:00:00;1;545454;28;10;Empleado;S;N;11875;800;1600;0;520;631;659;708;26847;23616;Correo;No contactado
107;1033811;2016-04-20 00:00:00;0;NEW ENGALND;66;45;independiente;S;N;7500;527;1300;2;794;713;758;595;7027;6914;Ninguno;No aplica
108;1059746;2021-01-16 00:00:00;1;NEW ENGALND;67;33;Pensionado;S;S;7200;350;1040;0;509;565;743;826;7695;5539;SMS;Pago parcial
109;1011394;2018-08-06 00:00:00;1;545454;45;20;Pensionado;S;N;10000;330;1500;2;513;645;704;628;20422;13053;Whatsapp;Sin gestión
110;1035282;2016-08-17 00:00:00;0;NEW YORK;66;5;Empleado;S;S;12000;220;1200;0;696;672;655;699;10258;9223;Ninguno;No aplica
111;1090168;2017-06-03 00:00:00;0;NEW YORK;29;5;independiente;S;S;7500;127;620;1;604;629;652;707;27002;17906;Ninguno;No aplica
112;1079231;2020-11-11 00:00:00;1;NEW YORK;36;5;Pensionado;S;S;7500;210;750;0;499;534;703;635;11736;7625;Correo;No contactado
113;1028759;2019-05-23 00:00:00;0;ATLANTHIC SOUTH;56;10;Empleado;S;S;18125;435;1935;0;703;621;623;677;5391;3322;Ninguno;No aplica
114;1016781;2017-07-14 00:00:00;0;CHICAGO;39;10;Empleado;S;S;12600;1907;3185,6;0;823;664;518;588;18986;10724;Ninguno;No aplica
115;1011051;2020-02-09 00:00:00;0;545454;49;a;Empleado;S;S;3000;400;1520;2;690;754;684;795;17666;11098;Ninguno;No aplica
116;1062791;2018-01-27 00:00:00;1;NEW YORK;38;22;independiente;S;S;6563;305;800;0;515;532;571;618;10892;7381;SMS;Pago parcial
117;1049228;2018-03-03 00:00:00;0;NEW YORK;46;25;independiente;S;S;14000;300;1200;0;698;691;583;611;8561;7166;Ninguno;No aplica
118;1011205;2019-02-17 00:00:00;0;545454;50;10;Pensionado;S;S;6000;300;1400;4;642;641;650;560;11184;5942;Ninguno;No aplica
119;1010813;2017-02-14 00:00:00;1;CHICAGO;63;10;Empleado;S;S;6250;400;1200;0;557;564;643;598;24483;14818;Call center;Promesa de pago
120;1077754;2019-03-25 00:00:00;1;NEW ENGALND;50;30;Pensionado;N;S;14000;400;2000;0;538;489;551;863;27662;25021;SMS;Pago parcial
121;1015584;2017-05-05 00:00:00;1;NEW YORK;49;31;Pensionado;S;N;8700;450;1170;4;540;567;662;769;13392;7680;Correo;No contactado
122;1066934;2020-02-07 00:00:00;1;NEW ENGALND;43;20;independiente;S;S;4375;500;2000;0;455;568;718;733;18067;12129;Whatsapp;Sin gestión
123;1081581;2018-07-18 00:00:00;0;CHICAGO;40;20;Pensionado;S;S;7500;710;1800;1;770;712;571;611;20265;18894;Ninguno;No aplica
124;1002146;2017-03-03 00:00:00;1;NEW YORK;61;20;Empleado;N;S;3375;380;530;0;430;593;739;802;24488;14141;SMS;Pago parcial
125;1044749;2020-02-01 00:00:00;0;545454;65;25;Pensionado;S;S;15000;727,9;2428,25;2;729;608;541;596;28599;15483;Ninguno;No aplica
126;1025479;2017-02-13 00:00:00;1;NEW ENGALND;54;16.66666667;Pensionado;S;S;4000;250;1300;1;610;645;798;791;7454;5533;Whatsapp;Sin gestión
127;1038121;2020-11-30 00:00:00;1;NEW YORK;47;20;independiente;S;S;7800;10440;19200;0;450;593;621;641;16837;10964;Call center;Promesa de pago
128;1023352;2017-03-16 00:00:00;0;ATLANTHIC SOUTH;38;15;Empleado;S;S;7500;400;1200;3;672;692;660;612;19039;14883;Ninguno;No aplica
129;1013487;2021-01-19 00:00:00;0;CHICAGO;39;15;Empleado;N;N;17030;505;1670;0;705;679;518;738;24115;21749;Ninguno;No aplica
130;1091035;2016-05-03 00:00:00;0;545454;31;10;Pensionado;S;S;18000;520;2300;1;675;649;646;748;15965;9077;Ninguno;No aplica
131;1017405;2018-07-12 00:00:00;1;CHICAGO;34;16;independiente;N;N;17796;1577,125;1881,5;3;422;593;666;774;29538;23345;SMS;Pago parcial
132;1012932;2017-10-09 00:00:00;0;NEW YORK;55;44;Empleado;S;S;5000;6149;13200;0;703;709;644;576;14762;11112;Ninguno;No aplica
133;1034603;2019-06-02 00:00:00;0;NEW YORK;42;42;independiente;S;S;8000;650;1100;3;647;575;611;630;10056;5752;Ninguno;No aplica
134;1021722;2019-08-06 00:00:00;0;ATLANTHIC SOUTH;39;20;independiente;S;S;9208;55;2149,5;0;724;648;584;684;19948;16198;Ninguno;No aplica
135;1090513;2018-02-14 00:00:00;0;NEW YORK;61;5;independiente;N;S;4400;700;1500;0;654;665;729;594;13110;8349;Ninguno;No aplica
136;1099059;2019-08-28 00:00:00;1;545454;66;40;independiente;S;S;15400;500;1100;2;577;595;652;843;18773;13966;SMS;Pago parcial
137;1015715;2018-07-06 00:00:00;1;NEW YORK;43;20;Empleado;S;N;4200;350;550;1;461;652;758;504;25224;13650;Call center;Promesa de pago
138;1085015;2017-12-03 00:00:00;1;ATLANTHIC SOUTH;36;20;Pensionado;N;N;3375;634;1158;0;484;534;613;650;22412;16356;Call center;Promesa de pago
139;1018201;2017-08-16 00:00:00;1;NEW YORK;39;15;Pensionado;N;N;7500;470;680;3;541;550;620;674;28769;18793;Call center;Promesa de pago
140;1028674;2016-05-22 00:00:00;1;ATLANTHIC SOUTH;58;30;Pensionado;S;S;8750;570;1900;1;438;549;707;464;5502;5013;Correo;No contactado
141;1099655;2021-01-07 00:00:00;1;NEW YORK;38;10;Pensionado;N;S;3750;245;500;1;511;532;536;594;11910;6294;Correo;No contactado
142;1025682;2020-12-23 00:00:00;0;NEW YORK;52;34;Pensionado;S;N;12000;370;800;0;765;659;565;726;17685;12544;Ninguno;No aplica
143;1041906;2018-05-29 00:00:00;0;545454;62;10;independiente;S;S;12000;500;2000;3;620;726;727;673;28322;20653;Ninguno;No aplica
144;1060840;2016-08-28 00:00:00;1;545454;22;4;Pensionado;S;S;9000;230;1460;4;509;517;568;862;25872;22315;SMS;Pago parcial
145;1046369;2019-01-04 00:00:00;1;545454;48;10;independiente;S;S;12000;400;2200;0;513;606;523;859;5206;4098;SMS;Pago parcial
146;1099039;2017-06-23 00:00:00;1;CHICAGO;34;10;independiente;S;S;4375;300;520;0;539;478;781;759;26518;22106;SMS;Pago parcial
147;1060712;2019-03-18 00:00:00;1;NEW YORK;42;20;Empleado;S;N;8000;250;700;0;438;546;552;748;27361;24311;Whatsapp;Sin gestión
148;1098085;2017-08-17 00:00:00;1;NEW YORK;52;33.33333333;Pensionado;N;S;11250;350;1000;3;434;560;663;726;29105;27100;Call center;Promesa de pago
149;1079795;2017-03-23 00:00:00;1;NEW ENGALND;44;30;independiente;N;N;2625;430;1000;0;526;680;655;481;28419;18670;SMS;Pago parcial
150;1007795;2020-05-10 00:00:00;0;NEW YORK;62;35;independiente;S;S;12500;13608;20160;1;715;664;453;544;22868;17586;Ninguno;No aplica
151;1076178;2017-12-18 00:00:00;0;NEW YORK;55;15;Empleado;S;S;6000;600;1000;1;713;548;631;679;29242;26904;Ninguno;No aplica
152;1063735;2020-12-30 00:00:00;1;NEW ENGALND;28;10;Pensionado;S;S;7000;400;900;1;517;460;681;775;20934;20824;Call center;Promesa de pago
153;1062478;2020-10-17 00:00:00;1;545454;27;d;Empleado;S;S;15000;680;2000;4;466;582;675;746;22247;21018;Correo;No contactado
154;1055853;2017-01-23 00:00:00;1;NEW ENGALND;27;3;Empleado;S;N;10500;310;700;0;512;617;713;640;24174;16577;Call center;Promesa de pago
155;1019827;2016-06-15 00:00:00;1;545454;55;13.5;independiente;S;S;6250;1050;2250;1;515;603;623;804;28792;17206;Whatsapp;Sin gestión
156;1052250;2017-01-31 00:00:00;1;NEW YORK;58;20;Pensionado;S;S;10000;3120;9000;3;464;590;700;853;13755;10243;Whatsapp;Sin gestión
157;1023169;2015-06-21 00:00:00;1;ATLANTHIC SOUTH;27;0;Empleado;N;S;12500;1000;2000;0;593;650;602;804;26500;23077;Call center;Promesa de pago
158;1015682;2016-07-22 00:00:00;1;545454;31;10;Empleado;N;S;6500;250;1600;0;524;548;551;809;17383;12973;Whatsapp;Sin gestión
159;1033966;2015-09-23 00:00:00;0;NEW ENGALND;29;16.66666667;independiente;S;N;15000;350;1500;2;640;734;559;620;27403;20322;Ninguno;No aplica
160;1040133;2019-11-29 00:00:00;1;NEW YORK;36;20;Empleado;S;N;3000;200;800;3;533;482;548;817;23141;21269;Whatsapp;Sin gestión
161;1023124;2017-11-03 00:00:00;1;NEW YORK;50;20;independiente;S;N;12000;1900;2750;2;451;526;721;733;19820;13492;Correo;No contactado
162;1060278;2019-10-01 00:00:00;1;545454;61;20;independiente;S;N;8750;400;1350;0;539;472;544;766;12574;11693;SMS;Pago parcial
163;1082182;2018-08-24 00:00:00;0;ATLANTHIC SOUTH;35;8;independiente;S;S;6250;880;1298;4;758;664;669;703;11374;8000;Ninguno;No aplica
164;1023631;2015-11-17 00:00:00;0;NEW YORK;58;20;independiente;S;S;13400;350;850;0;659;677;631;659;28276;18779;Ninguno;No aplica
165;1091010;2017-01-02 00:00:00;1;545454;62;20;Empleado;S;S;2500;400;900;2;548;587;643;643;6678;4855;Whatsapp;Sin gestión
166;1083816;2017-06-16 00:00:00;0;ATLANTHIC SOUTH;40;16;Empleado;S;S;6625;615;1600;0;721;684;745;663;24626;21701;Ninguno;No aplica
167;1065210;2017-08-16 00:00:00;1;ATLANTHIC SOUTH;44;12.5;Empleado;S;S;8125;600;1600;3;541;524;619;809;26020;14649;SMS;Pago parcial
168;1039541;2018-03-05 00:00:00;0;ATLANTHIC SOUTH;44;20;independiente;S;S;8000;348;1150;1;795;669;693;630;6059;3625;Ninguno;No aplica
169;1038161;2020-06-09 00:00:00;1;NEW YORK;61;10;Empleado;S;N;10100;1640;2562;0;488;490;653;800;28052;27371;Call center;Promesa de pago
170;1029772;2018-05-08 00:00:00;1;NEW YORK;36;19;independiente;N;N;7500;520;1200;0;462;662;639;786;21198;12459;Call center;Promesa de pago
171;1005423;2017-12-20 00:00:00;1;NEW YORK;41;4;Pensionado;S;S;10625;240;1000;0;456;562;811;693;14914;11691;Whatsapp;Sin gestión
172;1097898;2018-03-03 00:00:00;1;NEW YORK;31;12.5;Empleado;N;S;12500;210;1200;1;459;551;549;845;24541;19379;Call center;Promesa de pago
173;1062289;2020-03-10 00:00:00;0;545454;37;20;Pensionado;S;S;10000;350;1400;1;696;775;740;638;27299;20333;Ninguno;No aplica
174;1017691;2018-08-23 00:00:00;1;NEW YORK;24;14;independiente;S;S;5000;197;500;3;517;505;696;856;15817;13007;Correo;No contactado
175;1089051;2016-09-17 00:00:00;1;ATLANTHIC SOUTH;21;5;Empleado;N;S;6270;610;1370;0;514;512;616;759;15921;9790;Whatsapp;Sin gestión
176;1087178;2020-01-14 00:00:00;1;NEW YORK;59;41;Pensionado;S;S;2750;632,843;1225;1;541;514;764;719;14789;11481;Whatsapp;Sin gestión
